2.39478 -0.278097 -0.230658 1.06005 -0.112696 -0.781952 0.343354
2.44992 -0.336354 -0.266159 1.06878 -0.0869544 -0.732424 0.353114
2.50313 -0.394003 -0.295754 1.07496 -0.062098 -0.680954 0.357852
2.55463 -0.450718 -0.319379 1.07893 -0.0380375 -0.628209 0.357416
2.60481 -0.506267 -0.337184 1.08095 -0.014594 -0.574679 0.351778
2.65417 -0.560502 -0.349427 1.08118 0.00846617 -0.520677 0.34096
2.70327 -0.613317 -0.356386 1.07969 0.031402 -0.46637 0.324984
2.75266 -0.664607 -0.358325 1.07644 0.0544757 -0.411828 0.303849
2.80287 -0.714223 -0.355475 1.07128 0.0779342 -0.357061 0.277541
2.85438 -0.761941 -0.348058 1.064 0.101991 -0.302055 0.246068
2.90757 -0.807442 -0.336315 1.05423 0.126798 -0.246791 0.209518
2.96268 -0.850317 -0.320555 1.04157 0.152413 -0.191258 0.168143
3.01975 -0.890086 -0.3012 1.02554 0.178756 -0.135453 0.122444
3.07858 -0.926271 -0.278803 1.00564 0.205568 -0.0793664 0.0732348
3.13873 -0.958476 -0.25404 0.981432 0.232397 -0.0229564 0.0216431
3.19963 -0.986466 -0.227645 0.952609 0.258602 0.0338566 -0.0309567
3.26059 -1.0102 -0.200337 0.91904 0.283394 0.0911633 -0.083057
3.32094 -1.02983 -0.172754 0.880835 0.305895 0.148999 -0.133141
3.38007 -1.04564 -0.145414 0.838367 0.325223 0.207277 -0.17981
3.43753 -1.05801 -0.118687 0.792251 0.340587 0.265754 -0.221899
3.49305 -1.06734 -0.0927907 0.743258 0.351374 0.324078 -0.258584
3.5466 -1.07404 -0.0677885 0.69218 0.357198 0.381857 -0.289409
3.59836 -1.07847 -0.0436145 0.639714 0.357873 0.438753 -0.314258
3.6487 -1.0809 -0.0201053 0.586389 0.353354 0.494515 -0.333248
3.6981 -1.08153 0.00296435 0.532551 0.343659 0.548982 -0.346624
3.74711 -1.08044 0.0258501 0.478394 0.328816 0.602048 -0.354667
3.79627 -1.07761 0.0488151 0.424002 0.30883 0.653612 -0.357645
3.84615 -1.07294 0.0721107 0.369396 0.283688 0.70354 -0.355799
3.89721 -1.06619 0.0959591 0.314564 0.253389 0.751629 -0.349349
3.94988 -1.05707 0.12053 0.259485 0.217996 0.797587 -0.338526
4.00443 -1.04517 0.145906 0.204145 0.177714 0.841025 -0.323621
4.06096 -1.03002 0.172046 0.148536 0.132975 0.881481 -0.305021
4.11931 -1.01112 0.198739 0.0926484 0.0845087 0.918473 -0.283247
4.17913 -0.988024 0.225581 0.036443 0.0333633 0.951581 -0.258945
4.23987 -0.960371 0.25198 -0.0201584 -0.0191473 0.980529 -0.232833
4.30086 -0.927977 0.277182 -0.077255 -0.0715451 1.00523 -0.205637
4.36144 -0.890882 0.300324 -0.134908 -0.12231 1.02579 -0.178014
4.42097 -0.849388 0.320514 -0.193068 -0.170001 1.04246 -0.150512
4.47895 -0.804051 0.336924 -0.25153 -0.213385 1.05558 -0.12354
4.53507 -0.755612 0.348888 -0.30996 -0.251537 1.06557 -0.097351
4.58922 -0.70487 0.355955 -0.367966 -0.283907 1.07284 -0.0720481
4.64154 -0.652559 0.35789 -0.425183 -0.310295 1.07774 -0.0475955
4.69235 -0.599253 0.354616 -0.481333 -0.330765 1.08059 -0.0238507
4.74212 -0.545346 0.346138 -0.536232 -0.345538 1.08158 -0.000600941
4.79137 -0.491067 0.332484 -0.589759 -0.354889 1.08083 0.0224049
4.84066 -0.436524 0.313662 -0.64181 -0.359092 1.07833 0.0454304
4.89054 -0.381751 0.289661 -0.69226 -0.358393 1.07401 0.0687318
4.94151 -0.326741 0.260475 -0.740921 -0.353016 1.06766 0.0925403
4.99402 -0.271477 0.226148 -0.787515 -0.343187 1.05899 0.117039
5.04836 -0.215943 0.18685 -0.831669 -0.329182 1.04761 0.142332
5.10467 -0.160137 0.142964 -0.872926 -0.311368 1.03306 0.168404
5.16285 -0.104055 0.0951675 -0.910797 -0.290243 1.01485 0.195076
5.22258 -0.0476753 0.0444596 -0.944833 -0.266438 0.992509 0.221978
5.2833 0.00906249 -0.00787527 -0.974724 -0.240672 0.965662 0.248547
5.34438 0.066249 -0.0603679 -1.00035 -0.213683 0.934096 0.27405
5.40512 0.123952 -0.111488 -1.02177 -0.186151 0.897816 0.297639
5.46489 0.182143 -0.159768 -1.03922 -0.158653 0.857081 0.318421
5.52316 0.240646 -0.20393 -1.05306 -0.131624 0.812411 0.335555
5.57957 0.29915 -0.242994 -1.06367 -0.105349 0.764523 0.348343
5.63399 0.357268 -0.276346 -1.07149 -0.0799551 0.714218 0.356301
5.68651 0.414632 -0.303735 -1.07688 -0.0554298 0.662247 0.359165
5.73744 0.470952 -0.32519 -1.08017 -0.0316471 0.609215 0.356837
5.78721 0.526032 -0.340914 -1.08158 -0.00840421 0.555545 0.349318
5.83635 0.579747 -0.351181 -1.08124 0.014545 0.501492 0.336636
5.88541 0.632001 -0.35627 -1.07918 0.037463 0.447182 0.318807
5.93495 0.682678 -0.356434 -1.07534 0.060609 0.392657 0.295825
5.98548 0.731609 -0.351896 -1.06952 0.0842206 0.337916 0.267676
6.03746 0.778541 -0.342882 -1.06148 0.108494 0.28294 0.234388
6.09122 0.823125 -0.32965 -1.05084 0.133555 0.227711 0.196095
6.14693 0.864927 -0.312541 -1.03715 0.159421 0.172218 0.15312
6.20457 0.903462 -0.29202 -1.01992 0.185957 0.116456 0.106063
6.26386 0.938271 -0.268683 -0.998672 0.212844 0.0604009 0.0558391
6.32431 0.969009 -0.24323 -0.973003 0.239566 0.00399346 0.00366418
6.3252 0.969428 -0.242845 -0.972593 0.239952 0.00316468 0.00289286
