-0.272727 -0.661287 -0.668332 2.89688 2.9013 19.8892 22.0417 0.0251398 0.0250483
-0.252525 -0.598536 -0.605323 3.31024 3.33137 18.4597 20.4759 0.0124002 0.0121684
-0.232323 -0.527773 -0.533968 3.68901 3.72625 16.7364 18.5606 0.00101047 0.000647015
-0.212121 -0.449759 -0.45505 4.02718 4.07911 14.7419 16.3217 -0.0088751 -0.00935508
-0.191919 -0.365369 -0.369481 4.31926 4.38375 12.5039 13.7922 -0.0171186 -0.017694
-0.171717 -0.275586 -0.278291 4.56042 4.63468 10.0546 11.0115 -0.0236011 -0.0242457
-0.151515 -0.181481 -0.182614 4.74654 4.82727 7.43038 8.02467 -0.0282243 -0.0289079
-0.131313 -0.0841998 -0.0836672 4.87434 4.95786 4.67106 4.88151 -0.0309123 -0.031602
-0.111111 0.0150532 0.0172682 4.94142 5.02381 1.81911 1.63555 -0.031613 -0.032275
-0.0909091 0.115035 0.118869 4.94629 5.02363 -1.08101 -1.65725 -0.0302992 -0.0308998
-0.0707071 0.214481 0.219795 4.88844 4.95692 -3.98372 -4.93969 -0.0269688 -0.0274767
-0.0505051 0.312128 0.318706 4.76832 4.8245 -6.84308 -8.15463 -0.0216454 -0.0220328
-0.030303 0.40673 0.414294 4.58737 4.62827 -9.61371 -11.2463 -0.0143781 -0.0146221
-0.010101 0.497082 0.505298 4.34797 4.37129 -12.2516 -14.1615 -0.00524051 -0.00532453
0.010101 0.582034 0.59053 4.05344 4.05761 -14.7149 -16.851 0.00566968 0.00575511
0.030303 0.660514 0.668894 3.70792 3.69226 -16.9647 -19.2702 0.0182324 0.018489
0.0505051 0.731539 0.739404 3.31639 3.2811 -18.9659 -21.3804 0.0323069 0.0327282
0.0707071 0.794238 0.801199 2.8845 2.83071 -20.6876 -23.1495 0.0477335 0.0483052
0.0909091 0.847855 0.853559 2.41853 2.34823 -22.1039 -24.5526 0.0643361 0.0650363
0.111111 0.891772 0.895912 1.92523 1.84127 -23.194 -25.5724 0.0819249 0.082725
0.131313 0.925507 0.927842 1.41177 1.31766 -23.943 -26.1991 0.100299 0.101165
0.151515 0.948727 0.949093 0.88555 0.785375 -24.342 -26.4311 0.119248 0.120142
0.171717 0.961251 0.959569 0.354113 0.252353 -24.3879 -26.2741 0.138559 0.139439
0.191919 0.96305 0.959336 -0.174994 -0.273671 -24.0838 -25.7411 0.158014 0.15884
0.212121 0.954247 0.948609 -0.694352 -0.785288 -23.4388 -24.8516 0.177399 0.17813
0.232323 0.93511 0.927751 -1.19679 -1.27555 -22.4675 -23.6313 0.1965 0.197099
0.252525 0.906051 0.897259 -1.6755 -1.73807 -21.19 -22.1111 0.215114 0.215549
