18.6 3.47316e-07 0.0100396 0.192837 -0.327469
18.8 2.87213e-07 0.00928448 0.186061 -0.329392
19 2.38761e-07 0.00858242 0.179305 -0.330259
19.2 1.96741e-07 0.00792983 0.172576 -0.330084
19.4 1.63811e-07 0.0073233 0.16588 -0.328881
19.6 1.35476e-07 0.00675963 0.159225 -0.326668
19.8 1.12081e-07 0.00623579 0.152613 -0.323466
20 9.32351e-08 0.00574896 0.146051 -0.319297
20.2 7.88086e-08 0.00529647 0.139542 -0.314187
20.4 6.4644e-08 0.00487585 0.133089 -0.308164
20.6 5.44853e-08 0.00448474 0.126694 -0.301257
20.8 4.48056e-08 0.00412095 0.12036 -0.293496
21 3.60678e-08 0.00378242 0.114088 -0.284916
21.2 3.01807e-08 0.00346721 0.107879 -0.275551
21.4 2.49539e-08 0.0031735 0.101734 -0.265436
21.6 1.95533e-08 0.00289959 0.095652 -0.254608
21.8 1.60022e-08 0.00264385 0.0896329 -0.243105
22 1.29665e-08 0.00240479 0.0836759 -0.230966
22.2 9.52257e-09 0.00218097 0.0777797 -0.21823
22.4 9.54489e-09 0.00197105 0.0719424 -0.204937
22.6 8.28403e-09 0.00177375 0.0661619 -0.191129
22.8 6.99548e-09 0.00158787 0.0604359 -0.176845
23 6.11419e-09 0.00141225 0.0547614 -0.162127
23.2 5.01806e-09 0.0012458 0.0491354 -0.147015
23.4 2.82838e-09 0.00108749 0.0435542 -0.131551
23.6 3.48625e-09 0.000936311 0.038014 -0.115776
23.8 2.16776e-09 0.000791295 0.0325109 -0.0997308
24 7.51507e-10 0.000651513 0.0270402 -0.0834551
24.2 4.61486e-10 0.000516059 0.0215974 -0.066989
24.4 -4.74027e-10 0.000384046 0.0161774 -0.050372
24.6 -1.45856e-09 0.000254604 0.0107749 -0.0336428
